Day,Site,Stratum,Number,Label,Life_stage,Sex,Weight_g,SVL_mm,Salamander_comments
6/16/2018,Gibson Lakes,1.00,1.00,1-1,Age-2+M,Female,23,90.00,
6/16/2018,Gibson Lakes,1.00,2.00,1-2,Age-2+M,Female,21,87.00,
6/16/2018,Gibson Lakes,1.00,3.00,1-3,Age-2+M,Male,21,102.00,
6/16/2018,Gibson Lakes,1.00,4.00,1-4,Age-2+M,Female,17,83.00,
6/16/2018,Gibson Lakes,1.00,5.00,1-5,Age-2+M,Male,23,95.00,
6/16/2018,Gibson Lakes,2.00,1.00,2-1,Age-1M,,4,48.00,tiny metamorph
6/16/2018,Gibson Lakes,2.00,2.00,2-2,Age-1M,,5,51.00,"tiny metamorph
tiny metamorhp"
6/16/2018,Gibson Lakes,2.00,3.00,2-3,Age-1M,,4,51.00,"tiny metamorph
tiny metamorph"
6/16/2018,Gibson Lakes,2.00,4.00,2-4,Age-2+M,Male,27,106.00,
6/16/2018,Gibson Lakes,2.00,5.00,2-5,Age-2+M,Female,29,94.00,
6/16/2018,Gibson Lakes,2.00,6.00,2-6,Age-2+M,Male,28,96.00,
6/16/2018,Gibson Lakes,2.00,7.00,2-7,Age-2+M,Female,28,100.00,
6/16/2018,Gibson Lakes,2.00,8.00,2-8,Age-2+M,Male,37,115.00,
6/16/2018,Gibson Lakes,3.00,1.00,3-1,Age-1L,,14,65.00,
6/16/2018,Gibson Lakes,3.00,2.00,3-2,Age-1L,,11,61.00,
6/16/2018,Gibson Lakes,3.00,3.00,3-3,Age-1L,,10,50.00,
6/16/2018,Gibson Lakes,3.00,4.00,3-4,Age-2+M,Female,31,105.00,
6/16/2018,Gibson Lakes,3.00,5.00,3-5,Age-2+M,Female,25,90.00,
6/16/2018,Gibson Lakes,3.00,6.00,3-6,Age-2+M,Female,35,94.00,
6/16/2018,Gibson Lakes,3.00,7.00,3-7,Age-2+M,Female,30,97.00,
6/16/2018,Gibson Lakes,3.00,8.00,3-8,Age-2+M,Female,30,90.00,
6/16/2018,Gibson Lakes,4.00,1.00,4-1,Age-2+M,Female,33,105.00,
6/16/2018,Gibson Lakes,4.00,2.00,4-2,Age-2+M,Female,26,99.00,
6/16/2018,Gibson Lakes,4.00,3.00,4-3,Age-2+M,Female,26,102.00,
6/16/2018,Gibson Lakes,4.00,4.00,4-4,Age-2+M,Female,29,95.00,
6/16/2018,Gibson Lakes,4.00,5.00,4-5,Age-2+M,Male,22,95.00,
6/16/2018,Gibson Lakes,4.00,6.00,4-6,Age-1L,,9,61.00,
6/23/2018,Ponds Lake,1.00,1.00,1-1,Age-1L,,24,76.00,
6/23/2018,Ponds Lake,1.00,2.00,1-2,Age-1L,,16,67.00,
6/23/2018,Ponds Lake,1.00,3.00,1-3,Age-1L,,10,60.00,
6/23/2018,Ponds Lake,1.00,4.00,1-4,Age-1L,,19,81.00,
6/23/2018,Ponds Lake,1.00,5.00,1-5,Age-2+M,Female,26,91.00,
6/23/2018,Ponds Lake,1.00,6.00,1-6,Age-2+M,Male,29,96.00,
6/23/2018,Ponds Lake,1.00,7.00,1-7,Age-2+M,Male,31,102.00,
6/23/2018,Ponds Lake,2.00,1.00,2-1,Age-1L,,24,83.00,
6/23/2018,Ponds Lake,2.00,2.00,2-2,Age-1L,,20,81.00,
6/23/2018,Ponds Lake,2.00,3.00,2-3,Age-2+M,Male,23,87.00,
6/23/2018,Ponds Lake,2.00,4.00,2-4,Age-2+M,Female,28,96.00,
6/23/2018,Ponds Lake,2.00,5.00,2-5,Age-2+M,Female,39,101.00,
6/23/2018,Ponds Lake,2.00,6.00,2-6,Age-2+M,Female,23,86.00,
6/23/2018,Ponds Lake,3.00,1.00,3-1,Age-2+M,,29,95.00,
6/23/2018,Ponds Lake,3.00,2.00,3-2,Age-2+N,Female,48,102.00,
6/23/2018,Ponds Lake,3.00,3.00,3-3,Age-2+N,Female,54,104.00,
6/23/2018,Ponds Lake,3.00,4.00,3-4,Age-2+M,Male,23,97.00,
6/23/2018,Ponds Lake,3.00,5.00,3-5,Age-1L,,22,79.00,
6/23/2018,Ponds Lake,3.00,6.00,3-6,Age-1L,,14,71.00,
6/23/2018,Ponds Lake,3.00,7.00,3-7,Age-1L,,18,72.00,
6/23/2018,Ponds Lake,3.00,8.00,3-8,Age-1L,,15,66.00,
6/23/2018,Ponds Lake,4.00,1.00,4-1,Age-1L,,19,76.00,
6/23/2018,Ponds Lake,4.00,2.00,4-2,Age-1L,,18,72.00,
6/23/2018,Ponds Lake,4.00,3.00,4-3,Age-1L,,21,81.00,
6/23/2018,Ponds Lake,4.00,4.00,4-4,Age-1L,,23,74.00,
6/23/2018,Ponds Lake,4.00,5.00,4-5,Age-2+M,Male,20,84.00,
6/23/2018,Ponds Lake,5.00,1.00,5-1,Age-2+M,,15,85.00,"Metamorph, small adult?"
6/23/2018,Ponds Lake,5.00,2.00,5-2,Age-1L,,16,76.00,
6/23/2018,Ponds Lake,5.00,3.00,5-3,Age-1L,,21,78.00,
6/23/2018,Ponds Lake,5.00,4.00,5-4,Age-1L,,18,85.00,
6/23/2018,Ponds Lake,5.00,5.00,5-5,Age-2+M,,33,95.00,
6/30/2018,Gibson Lakes,2.00,1.00,2-1,Age-2+M,Male,34,90.00,Sluggish
6/30/2018,Gibson Lakes,4.00,1.00,4-1,Age-1M,,3,49.00,
6/30/2018,Gibson Lakes,4.00,2.00,4-2,Age-2+M,Male,32,94.00,
6/30/2018,Gibson Lakes,4.00,3.00,4-3,Age-2+M,Female,22,91.00,
7/7/2018,Ponds Lake,1.00,1.00,1-1,Age-1L,,19,68.00,
7/7/2018,Ponds Lake,1.00,2.00,1-2,Age-1L,,25,79.00,
7/7/2018,Ponds Lake,1.00,3.00,1-3,Age-1L,,21,77.00,
7/7/2018,Ponds Lake,1.00,4.00,1-4,Age-1L,,24,77.00,
7/7/2018,Ponds Lake,1.00,5.00,1-5,Age-2+M,Female,40,103.00,
7/7/2018,Ponds Lake,1.00,6.00,1-6,Age-2+M,Female,27,85.00,
7/7/2018,Ponds Lake,1.00,7.00,1-7,Age-2+M,Female,18,94.00,Skinny
7/7/2018,Ponds Lake,1.00,8.00,1-8,Age-2+M,Female,19,85.00,
7/7/2018,Ponds Lake,2.00,1.00,2-1,Age-1L,,24,70.00,
7/7/2018,Ponds Lake,2.00,2.00,2-2,Age-2+M,Male,33,96.00,
7/7/2018,Ponds Lake,2.00,3.00,2-3,Age-1L,,29,87.00,
7/7/2018,Ponds Lake,2.00,4.00,2-4,Age-1M,,13,72.00,
7/7/2018,Ponds Lake,2.00,5.00,2-5,Age-2+M,Female,27,94.00,
7/7/2018,Ponds Lake,2.00,6.00,2-6,Age-2+M,Male,22,88.00,
7/7/2018,Ponds Lake,3.00,1.00,3-1,Age-1L,,19,72.00,
7/7/2018,Ponds Lake,3.00,2.00,3-2,Age-1L,,25,83.00,
7/7/2018,Ponds Lake,3.00,3.00,3-3,Age-1L,,24,72.00,
7/7/2018,Ponds Lake,3.00,4.00,3-4,Age-2+M,Male,31,99.00,
7/7/2018,Ponds Lake,3.00,5.00,3-5,Age-2+M,Female,29,99.00,
7/7/2018,Ponds Lake,3.00,6.00,3-6,Age-2+M,Female,38,106.00,
7/7/2018,Ponds Lake,3.00,7.00,3-7,Age-2+M,,30,97.00,
7/7/2018,Ponds Lake,4.00,1.00,4-1,Age-1L,,24,76.00,
7/7/2018,Ponds Lake,4.00,2.00,4-2,Age-1L,,23,69.00,
7/7/2018,Ponds Lake,4.00,3.00,4-3,Age-1L,,27,76.00,
7/7/2018,Ponds Lake,4.00,4.00,4-4,Age-1L,,15,63.00,
7/7/2018,Ponds Lake,4.00,5.00,4-5,Age-2+M,Male,33,95.00,QA/QC: SVL = 95 (changed from 45)
7/7/2018,Ponds Lake,4.00,6.00,4-6,Age-2+M,Male,27,87.00,
7/7/2018,Ponds Lake,5.00,1.00,5-1,Age-1L,,19,69.00,
7/7/2018,Ponds Lake,5.00,2.00,5-2,Age-1L,,23,74.00,
7/7/2018,Ponds Lake,5.00,3.00,5-3,Age-1L,,24,79.00,
7/7/2018,Ponds Lake,5.00,4.00,5-4,Age-1L,,23,71.00,
7/7/2018,Ponds Lake,5.00,5.00,5-5,Age-2+N,Female,33,90.00,
7/14/2018,Gibson Lakes,1.00,1.00,1-1,Age-2+M,Male,29,98.00,
7/14/2018,Gibson Lakes,1.00,2.00,1-2,Age-2+M,Female,31,103.00,
7/28/2018,Ponds Lake,1.00,1.00,1-1,Age-1L,,21,60.00,
7/28/2018,Ponds Lake,2.00,1.00,2-1,Age-2+M,Male,27,93.00,
7/28/2018,Ponds Lake,2.00,2.00,2-2,Age-2+M,Male,25,85.00,
7/28/2018,Ponds Lake,3.00,1.00,3-1,Age-2+M,Female,31,105.00,
7/28/2018,Ponds Lake,3.00,2.00,3-2,Age-2+M,Female,50,95.00,
7/28/2018,Ponds Lake,4.00,1.00,4-1,Age-1L,,27,81.00,
7/28/2018,Ponds Lake,4.00,2.00,4-2,Age-1M,,14,73.00,
7/28/2018,Ponds Lake,5.00,1.00,5-1,Age-1L,,28,87.00,
8/4/2018,Gibson Lakes,1.00,1.00,1-1,Age-0L,,8,55.00,
8/4/2018,Gibson Lakes,1.00,2.00,1-2,Age-0L,,10,53.00,
8/4/2018,Gibson Lakes,1.00,3.00,1-3,Age-0L,,6,52.00,
8/4/2018,Gibson Lakes,1.00,4.00,1-4,Age-0L,,6,51.00,
8/4/2018,Gibson Lakes,2.00,1.00,2-1,Age-0L,,11,58.00,Sassy
8/4/2018,Gibson Lakes,2.00,2.00,2-2,Age-0L,,7,54.00,
8/4/2018,Gibson Lakes,2.00,3.00,2-3,Age-0L,,9,53.00,
8/4/2018,Gibson Lakes,2.00,4.00,2-4,Age-0L,,11,57.00,
8/4/2018,Gibson Lakes,2.00,5.00,2-5,Age-0L,,7,52.00,
8/4/2018,Gibson Lakes,3.00,1.00,3-1,Age-0L,,7,42.00,Cute!
8/4/2018,Gibson Lakes,3.00,2.00,3-2,Age-0L,,9,52.00,
8/4/2018,Gibson Lakes,3.00,3.00,3-3,Age-0L,,7,46.00,
8/4/2018,Gibson Lakes,3.00,4.00,3-4,Age-0L,,7,46.00,
8/4/2018,Gibson Lakes,3.00,5.00,3-5,Age-0L,,4,48.00,
8/4/2018,Gibson Lakes,4.00,1.00,4-1,Age-0L,,9,56.00,
8/4/2018,Gibson Lakes,4.00,2.00,4-2,Age-0L,,7,55.00,
8/4/2018,Gibson Lakes,4.00,3.00,4-3,Age-0L,,7,54.00,
8/4/2018,Gibson Lakes,4.00,4.00,4-4,Age-0L,,7,52.00,
8/11/2018,Ponds Lake,1.00,1.00,1-1,Age-1L,,18,76.00,Metamorphosing
8/11/2018,Ponds Lake,3.00,1.00,3-1,Age-0L,,8,50.00,
8/11/2018,Ponds Lake,4.00,1.00,4-1,Age-0L,,4,44.00,
8/11/2018,Ponds Lake,4.00,2.00,4-2,Age-0L,,3,36.00,
8/11/2018,Ponds Lake,5.00,1.00,5-1,Age-0L,,5,40.00,
8/11/2018,Ponds Lake,5.00,2.00,5-2,Age-2+M,Male,26,88.00,
8/11/2018,Ponds Lake,5.00,3.00,5-3,Age-0L,,6,52.00,
8/11/2018,Ponds Lake,5.00,4.00,5-4,Age-0L,,13,60.00,
8/11/2018,Ponds Lake,5.00,5.00,5-5,Age-0L,,6,51.00,
8/11/2018,Ponds Lake,5.00,6.00,5-6,Age-2+M,Male,19,91.00,
8/18/2018,Gibson Lakes,1.00,1.00,1-1,Age-0L,,3,41.00,Baby
8/18/2018,Gibson Lakes,1.00,2.00,1-2,Age-0L,,8,51.00,Previously lost eye
8/18/2018,Gibson Lakes,1.00,3.00,1-3,Age-0L,,7,56.00,
8/18/2018,Gibson Lakes,1.00,4.00,1-4,Age-0L,,12,59.00,
8/18/2018,Gibson Lakes,1.00,5.00,1-5,Age-0L,,9,59.00,
8/18/2018,Gibson Lakes,2.00,1.00,2-1,Age-0L,,7,54.00,
8/18/2018,Gibson Lakes,2.00,2.00,2-2,Age-0L,,10,61.00,
8/18/2018,Gibson Lakes,2.00,3.00,2-3,Age-0L,,7,55.00,
8/18/2018,Gibson Lakes,2.00,4.00,2-4,Age-0L,,8,56.00,
8/18/2018,Gibson Lakes,2.00,5.00,2-5,Age-0L,,12,63.00,
8/18/2018,Gibson Lakes,3.00,1.00,3-1,Age-0L,,9,58.00,
8/18/2018,Gibson Lakes,3.00,2.00,3-2,Age-0L,,11,60.00,Massive
8/18/2018,Gibson Lakes,3.00,3.00,3-3,Age-0L,,9,59.00,
8/18/2018,Gibson Lakes,3.00,4.00,3-4,Age-0L,,8,56.00,
8/18/2018,Gibson Lakes,3.00,5.00,3-5,Age-0L,,10,57.00,
8/18/2018,Gibson Lakes,4.00,1.00,4-1,Age-0L,,8,61.00,
8/18/2018,Gibson Lakes,4.00,2.00,4-2,Age-0L,,8,57.00,
8/25/2018,Ponds Lake,1.00,1.00,1-1,Age-0L,,5,46.00,
8/25/2018,Ponds Lake,1.00,2.00,1-2,Age-0L,,6,51.00,
8/25/2018,Ponds Lake,1.00,3.00,1-3,Age-0L,,7,54.00,
8/25/2018,Ponds Lake,1.00,4.00,1-4,Age-0L,,9,57.00,
8/25/2018,Ponds Lake,3.00,1.00,3-1,Age-0L,,4,38.00,
8/25/2018,Ponds Lake,3.00,2.00,3-2,Age-0L,,8,56.00,
8/25/2018,Ponds Lake,3.00,3.00,3-3,Age-0L,,8,57.00,
8/25/2018,Ponds Lake,3.00,4.00,3-4,Age-0L,,7,57.00,
8/25/2018,Ponds Lake,4.00,1.00,4-1,Age-0L,,7,57.00,
8/25/2018,Ponds Lake,5.00,1.00,5-1,Age-0L,,10,60.00,
8/25/2018,Ponds Lake,5.00,2.00,5-2,Age-0L,,13,59.00,
8/25/2018,Ponds Lake,5.00,3.00,5-3,Age-0L,,11,62.00,
8/25/2018,Ponds Lake,5.00,4.00,5-4,Age-0L,,8,53.00,
9/1/2018,Gibson Lakes,1.00,1.00,1-1,Age-0L,,10,58.00,
9/1/2018,Gibson Lakes,1.00,2.00,1-2,Age-0L,,11,57.00,
9/1/2018,Gibson Lakes,2.00,1.00,2-1,Age-0L,,11,61.00,
9/1/2018,Gibson Lakes,2.00,2.00,2-2,Age-0L,,9,57.00,Squirmy
9/1/2018,Gibson Lakes,2.00,3.00,2-3,Age-0L,,10,60.00,Squirmier
9/1/2018,Gibson Lakes,2.00,4.00,2-4,Age-0L,,9,61.00,Mr. Drop
9/1/2018,Gibson Lakes,3.00,1.00,3-1,Age-0L,,9,59.00,
9/1/2018,Gibson Lakes,3.00,2.00,3-2,Age-0L,,8,58.00,Possibly metamorphosing
9/1/2018,Gibson Lakes,3.00,3.00,3-3,Age-0L,,9,62.00,Possibly metamorphosing
9/1/2018,Gibson Lakes,3.00,4.00,3-4,Age-0L,,11,59.00,
9/1/2018,Gibson Lakes,3.00,5.00,3-5,Age-0L,,9,59.00,
9/1/2018,Gibson Lakes,4.00,1.00,4-1,Age-0L,,9,57.00,Fillipe
9/1/2018,Gibson Lakes,4.00,2.00,4-2,Age-0L,,7,56.00,Possibly metamorphosing
9/1/2018,Gibson Lakes,4.00,3.00,4-3,Age-0L,,12,61.00,
9/8/2018,Ponds Lake,1.00,1.00,1-1,Age-0L,,11,64.00,
9/8/2018,Ponds Lake,1.00,2.00,1-2,Age-0L,,13,63.00,
9/8/2018,Ponds Lake,1.00,3.00,1-3,Age-0L,,12,66.00,
9/8/2018,Ponds Lake,1.00,4.00,1-4,Age-0L,,8,59.00,
9/8/2018,Ponds Lake,2.00,1.00,2-1,Age-0L,,18,75.00,
9/8/2018,Ponds Lake,2.00,2.00,2-2,Age-0L,,6,50.00,
9/8/2018,Ponds Lake,4.00,1.00,4-1,Age-0L,,9,54.00,
9/8/2018,Ponds Lake,5.00,1.00,5-1,Age-0L,,11,64.00,
9/8/2018,Ponds Lake,5.00,2.00,5-2,Age-0L,,13,67.00,
9/8/2018,Ponds Lake,5.00,3.00,5-3,Age-0L,,9,62.00,
9/8/2018,Ponds Lake,5.00,4.00,5-4,Age-0L,,11,57.00,
9/15/2018,Gibson Lakes,2.00,1.00,2-1,Age-0M,,8,63.00,
9/15/2018,Gibson Lakes,2.00,2.00,2-2,Age-0M,,6,55.00,
9/15/2018,Gibson Lakes,3.00,1.00,3-1,Age-0M,,8,62.00,
9/15/2018,Gibson Lakes,3.00,2.00,3-2,Age-0M,,6,53.00,
9/22/2018,Ponds Lake,1.00,1.00,1-1,Age-0L,,15,73.00,
9/22/2018,Ponds Lake,1.00,2.00,1-2,Age-0L,,10,60.00,
9/22/2018,Ponds Lake,1.00,3.00,1-3,Age-0L,,9,61.00,
9/22/2018,Ponds Lake,1.00,4.00,1-4,Age-0L,,12,67.00,
9/22/2018,Ponds Lake,2.00,1.00,2-1,Age-0L,,13,67.00,
9/22/2018,Ponds Lake,2.00,2.00,2-2,Age-0L,,10,62.00,
9/22/2018,Ponds Lake,3.00,1.00,3-1,Age-0L,,19,76.00,
9/22/2018,Ponds Lake,3.00,2.00,3-2,Age-0L,,11,61.00,
9/22/2018,Ponds Lake,3.00,3.00,3-3,Age-0L,,8,59.00,
9/22/2018,Ponds Lake,3.00,4.00,3-4,Age-0L,,9,62.00,
9/22/2018,Ponds Lake,5.00,1.00,5-1,Age-0L,,19,78.00,
9/22/2018,Ponds Lake,5.00,2.00,5-2,Age-0L,,16,72.00,
9/22/2018,Ponds Lake,5.00,3.00,5-3,Age-0L,,13,63.00,
9/22/2018,Ponds Lake,5.00,4.00,5-4,Age-0L,,12,65.00,
9/22/2018,Ponds Lake,5.00,5.00,5-5,Age-1L,,29,82.00,Or other stage class?
9/22/2018,Ponds Lake,5.00,6.00,5-6,Age-1L,,37,91.00,Or other stage class?