Day,Site,Stratum,Temperature_C,pH,Conductivity_uS,Dissolved_oxygen_ppm,Dissolved_oxygen_pct
6/16/2018,Gibson Lakes,1.00,16.70,7.74,111.00,7.23,102.00
6/16/2018,Gibson Lakes,2.00,16.90,8.03,105.00,7.48,104.90
6/16/2018,Gibson Lakes,3.00,18.10,8.05,105.00,9.03,130.50
6/16/2018,Gibson Lakes,4.00,16.60,8.26,121.00,8.21,109.20
6/23/2018,Ponds Lake,1.00,17.20,7.47,25.00,5.93,88.10
6/23/2018,Ponds Lake,2.00,18.60,7.22,24.00,4.80,74.60
6/23/2018,Ponds Lake,3.00,17.00,7.59,30.00,6.14,93.00
6/23/2018,Ponds Lake,4.00,19.30,7.57,20.00,6.25,97.00
6/23/2018,Ponds Lake,5.00,15.20,7.67,29.00,4.77,70.10
6/30/2018,Gibson Lakes,1.00,15.60,8.30,155.00,6.42,88.50
6/30/2018,Gibson Lakes,2.00,16.00,8.41,110.00,6.84,90.10
6/30/2018,Gibson Lakes,3.00,15.30,8.66,115.00,6.54,90.30
6/30/2018,Gibson Lakes,4.00,16.00,8.64,95.00,6.81,96.60
7/7/2018,Ponds Lake,1.00,19.10,7.40,58.00,5.60,86.10
7/7/2018,Ponds Lake,2.00,19.70,7.14,28.00,4.51,70.40
7/7/2018,Ponds Lake,3.00,18.90,7.63,38.00,5.95,91.70
7/7/2018,Ponds Lake,4.00,19.70,7.09,22.00,6.09,94.60
7/7/2018,Ponds Lake,5.00,18.70,7.03,20.00,4.78,73.20
7/14/2018,Gibson Lakes,1.00,21.10,8.51,137.00,6.12,95.50
7/14/2018,Gibson Lakes,2.00,20.90,8.42,110.00,5.79,89.70
7/14/2018,Gibson Lakes,3.00,21.00,8.59,116.00,5.96,93.80
7/14/2018,Gibson Lakes,4.00,21.00,8.81,95.00,5.91,91.90
7/28/2018,Ponds Lake,1.00,17.60,7.40,22.00,5.65,86.50
7/28/2018,Ponds Lake,2.00,18.90,6.99,21.00,3.93,60.40
7/28/2018,Ponds Lake,3.00,18.50,7.32,27.00,5.52,85.00
7/28/2018,Ponds Lake,4.00,19.00,6.96,21.00,5.76,91.30
7/28/2018,Ponds Lake,5.00,17.10,6.55,19.00,4.29,65.60
8/4/2018,Gibson Lakes,1.00,16.80,8.40,95.00,5.35,75.30
8/4/2018,Gibson Lakes,2.00,15.80,9.34,102.00,7.81,107.20
8/4/2018,Gibson Lakes,3.00,14.20,8.80,80.00,6.40,86.40
8/4/2018,Gibson Lakes,4.00,15.90,9.41,79.00,6.35,86.50
8/11/2018,Ponds Lake,1.00,16.70,7.85,26.00,,
8/11/2018,Ponds Lake,2.00,19.00,7.71,29.00,,
8/11/2018,Ponds Lake,3.00,18.00,8.08,34.00,,
8/11/2018,Ponds Lake,4.00,19.40,7.90,39.00,,
8/11/2018,Ponds Lake,5.00,17.70,7.44,26.00,,
8/18/2018,Gibson Lakes,1.00,15.00,8.88,119.00,5.09,70.50
8/18/2018,Gibson Lakes,2.00,13.60,9.88,140.00,9.03,117.80
8/18/2018,Gibson Lakes,3.00,11.80,9.27,163.00,7.59,95.00
8/18/2018,Gibson Lakes,4.00,12.10,9.52,110.00,6.40,78.80
8/25/2018,Ponds Lake,1.00,13.40,7.93,30.00,5.35,72.70
8/25/2018,Ponds Lake,2.00,15.70,8.01,25.00,4.46,63.50
8/25/2018,Ponds Lake,3.00,14.40,8.03,32.00,5.50,78.60
8/25/2018,Ponds Lake,4.00,16.20,7.86,29.00,6.18,87.60
8/25/2018,Ponds Lake,5.00,13.70,7.77,28.00,5.24,71.60
9/1/2018,Gibson Lakes,1.00,12.00,9.10,105.00,5.71,74.70
9/1/2018,Gibson Lakes,2.00,11.70,10.21,120.00,8.93,106.80
9/1/2018,Gibson Lakes,3.00,9.20,9.60,120.00,5.54,69.70
9/1/2018,Gibson Lakes,4.00,9.40,9.24,122.00,6.02,78.90
9/8/2018,Ponds Lake,1.00,9.80,7.54,25.00,5.42,68.70
9/8/2018,Ponds Lake,2.00,12.40,7.08,23.00,4.99,57.70
9/8/2018,Ponds Lake,3.00,12.30,7.73,31.00,5.90,79.70
9/8/2018,Ponds Lake,4.00,12.50,7.35,24.00,5.95,80.00
9/8/2018,Ponds Lake,5.00,10.60,7.44,29.00,5.57,70.70
9/15/2018,Gibson Lakes,1.00,9.60,8.47,130.00,6.15,72.60
9/15/2018,Gibson Lakes,2.00,10.10,9.07,132.00,6.52,76.70
9/15/2018,Gibson Lakes,3.00,7.20,8.75,163.00,3.15,36.80
9/15/2018,Gibson Lakes,4.00,11.20,9.35,125.00,6.13,75.00
9/22/2018,Ponds Lake,1.00,5.80,7.67,29.00,5.36,61.50
9/22/2018,Ponds Lake,2.00,11.50,7.49,29.00,5.53,72.90
9/22/2018,Ponds Lake,3.00,10.80,7.75,30.00,6.56,87.10
9/22/2018,Ponds Lake,4.00,11.50,7.50,28.00,6.66,87.80
9/22/2018,Ponds Lake,5.00,8.00,7.32,34.00,5.43,64.30
9/29/2018,Gibson Lakes,1.00,7.90,8.50,146.00,5.91,67.70
9/29/2018,Gibson Lakes,2.00,8.20,8.39,170.00,6.09,71.90
9/29/2018,Gibson Lakes,3.00,5.90,8.44,150.00,2.83,31.20
9/29/2018,Gibson Lakes,4.00,9.00,9.02,133.00,5.51,65.90